CustomerID,CustomerName,LoyaltyTier,JoinDate,HomeCity,HomeStateCode,PreferredStoreID
C00165,Kenji Nakamura,None,2024-06-19,Eugene,OR,ST008
C00166,Tobias Grimshaw,None,2021-04-02,Missoula,MT,ST016
C00167,Noor Barros,Trailhead,2023-07-15,Denver,CO,ST015
C00168,Sana Sandoval,None,2023-11-11,Portland,OR,ST007
C00169,Tobias Yardley,Alpine,2022-11-07,Eugene,OR,ST003
C00170,Marcus Zielinski,Summit,2021-02-21,Bend,OR,ST003
C00171,Soren Hollis,Trailhead,2023-03-22,Sacramento,CA,ST003
C00172,Felix Thorne,Summit,2021-04-16,Reno,NV,ST002
C00173,Soren Grimshaw,None,2020-02-12,Bend,OR,ST004
C00174,Mateo Sandoval,Trailhead,2022-02-10,Reno,NV,ST013
C00175,Elena Yardley,Alpine,2021-06-20,Boise,ID,ST008
C00176,Amara Delacroix,Summit,2020-05-31,Missoula,MT,ST005
C00177,Rosa Yardley,None,2021-12-21,Flagstaff,AZ,ST007
C00178,Noor Pemberton,None,2023-09-06,Denver,CO,ST008
C00179,Elias Vasquez,Alpine,2020-07-09,Eugene,OR,ST005
C00180,Amara Farrow,Summit,2020-08-11,Park City,UT,ST012
C00181,Lucian Ibarra,None,2020-06-16,Spokane,WA,ST007
C00182,Kenji Grimshaw,Trailhead,2022-01-11,Spokane,WA,ST004
C00183,Elena Delacroix,Summit,2021-07-29,Boise,ID,ST010
C00184,Alina Nakamura,None,2022-09-17,Tacoma,WA,ST004
C00185,Soren Farrow,Trailhead,2024-02-15,Denver,CO,ST017
C00186,Emrys Wexford,Trailhead,2021-06-21,Missoula,MT,ST001
C00187,Felix Farrow,Trailhead,2020-06-15,Salt Lake City,UT,ST005
C00188,Noor Lindqvist,Alpine,2022-07-29,Spokane,WA,ST003
C00189,Rosa Marchetti,Trailhead,2024-06-05,Sacramento,CA,ST009
C00190,Sana Wexford,None,2021-12-03,Bozeman,MT,ST011
C00191,Leila Delacroix,Trailhead,2022-05-17,Boise,ID,ST013
C00192,Lucian Zielinski,None,2021-01-16,Bend,OR,ST018
C00193,Felix Okonkwo,Summit,2020-02-13,Reno,NV,ST007
C00194,Nadia Sandoval,Summit,2023-02-08,Spokane,WA,ST006
C00195,Otto Vasquez,Summit,2023-03-04,Coeur d'Alene,ID,ST006
C00196,Freya Farrow,Summit,2024-10-13,Eugene,OR,ST015
C00197,Greta Kowalski,Alpine,2022-06-06,Eugene,OR,ST004
C00198,Ravi Okonkwo,None,2021-09-17,Boise,ID,ST015
C00199,Noor Whitfield,Alpine,2024-06-02,Fort Collins,CO,ST003
C00200,Elena Ferreira,Alpine,2020-08-04,Bend,OR,ST012
C00201,Hugo Marchetti,Trailhead,2024-09-19,Tacoma,WA,ST008
C00202,Kenji Ellery,None,2023-09-14,Missoula,MT,ST018
C00203,Greta Grimshaw,None,2023-06-01,Seattle,WA,ST004
C00204,Yara Yardley,None,2020-04-04,Salt Lake City,UT,ST013
C00205,Leila Okonkwo,None,2023-02-27,Boulder,CO,ST013
C00206,Freya Ellery,Trailhead,2024-05-14,Seattle,WA,ST009
C00207,Elena Nakamura,Trailhead,2022-08-10,Tacoma,WA,ST005
C00208,Leila Thorne,None,2022-04-24,Eugene,OR,ST014
C00209,Marcus Whitfield,Trailhead,2021-06-10,Denver,CO,ST004
C00210,Soren Okonkwo,Alpine,2020-07-26,Tacoma,WA,ST008
C00211,Mateo Yardley,Trailhead,2024-03-05,Seattle,WA,ST011
C00212,Freya Wexford,Trailhead,2024-07-24,Boise,ID,ST010
C00213,Elias Halvorsen,None,2022-11-07,Fort Collins,CO,ST013
C00214,Hugo Okonkwo,Trailhead,2023-10-15,Reno,NV,ST004
C00215,Ravi Lindqvist,None,2024-01-11,Missoula,MT,ST006
C00216,Noor Kowalski,Summit,2023-07-16,Salt Lake City,UT,ST012
C00217,Hugo Barros,Trailhead,2024-04-13,Boulder,CO,ST013
C00218,Kenji Ferreira,Summit,2022-07-20,Eugene,OR,ST004
C00219,Imani Halvorsen,Trailhead,2021-10-23,Tacoma,WA,ST017
C00220,Leila Ibarra,Trailhead,2024-02-05,Seattle,WA,ST012
C00221,Amara Sandoval,Summit,2023-07-15,Missoula,MT,ST005
C00222,Ravi Pemberton,Alpine,2021-08-09,Spokane,WA,ST004
C00223,Soren Ibarra,None,2020-07-07,Boulder,CO,ST011
C00224,Noor Lindqvist,Summit,2020-11-20,Reno,NV,ST014
C00225,Marcus Ferreira,Alpine,2022-02-22,Sacramento,CA,ST012
C00226,Mateo Ellery,None,2021-08-25,Seattle,WA,ST012
C00227,Soren Ellery,Summit,2023-03-09,Park City,UT,ST003
C00228,Leila Grimshaw,Summit,2023-04-30,Reno,NV,ST017
C00229,Beatrix Sandoval,Trailhead,2023-12-09,Spokane,WA,ST006
C00230,Alina Lindqvist,None,2023-05-22,Spokane,WA,ST004
C00231,Theo Kowalski,Alpine,2021-04-24,Boulder,CO,ST010
C00232,Otto Rasmussen,None,2024-12-30,Salt Lake City,UT,ST009
C00233,Callum Farrow,Trailhead,2020-06-28,Spokane,WA,ST014
C00234,Nadia Wexford,Trailhead,2021-03-28,Sacramento,CA,ST008
C00235,Beatrix Whitfield,Trailhead,2021-12-19,Bend,OR,ST014
C00236,Nadia Zielinski,Trailhead,2020-12-20,Salt Lake City,UT,ST011
C00237,Marcus Farrow,None,2022-12-15,Boise,ID,ST011
C00238,Alina Barros,Alpine,2021-06-28,Denver,CO,ST005
C00239,Priya Ashworth,None,2020-08-06,Reno,NV,ST003
C00240,Sana Thorne,None,2020-03-14,Salt Lake City,UT,ST010
C00241,Imani Ferreira,None,2023-12-04,Park City,UT,ST004
C00242,Saskia Grimshaw,None,2020-07-21,Bend,OR,ST015
C00243,Freya Hollis,None,2020-11-18,Seattle,WA,ST007
C00244,Diego Barros,Summit,2023-10-02,Spokane,WA,ST009
C00245,Leila Delacroix,None,2023-11-21,Park City,UT,ST011
C00246,Otto Lindqvist,Summit,2024-09-17,Sacramento,CA,ST012
C00247,Hugo Ellery,None,2023-01-07,Denver,CO,ST014
C00248,Elena Sandoval,Trailhead,2024-06-14,Spokane,WA,ST001
C00249,Marcus Kowalski,Trailhead,2022-06-29,Boise,ID,ST013
C00250,Elias Ellery,Alpine,2023-09-20,Eugene,OR,ST014
C00251,Sana Ibarra,Trailhead,2020-07-07,Eugene,OR,ST014
C00252,Soren Marchetti,None,2021-08-08,Bozeman,MT,ST013
C00253,Imani Rasmussen,Summit,2021-06-18,Coeur d'Alene,ID,ST012
C00254,Lucian Yardley,Alpine,2024-10-13,Sacramento,CA,ST008
C00255,Beatrix Lindqvist,Summit,2020-09-20,Coeur d'Alene,ID,ST011
C00256,Callum Okonkwo,Trailhead,2024-05-31,Denver,CO,ST004
C00257,Rosa Ashworth,Summit,2022-01-18,Portland,OR,ST012
C00258,Mateo Thorne,Trailhead,2023-06-16,Denver,CO,ST004
C00259,Beatrix Whitfield,Trailhead,2021-02-12,Denver,CO,ST013
C00260,Emrys Sandoval,Summit,2022-04-18,Missoula,MT,ST017
C00261,Amara Barros,Summit,2021-10-10,Coeur d'Alene,ID,ST004
C00262,Rosa Ferreira,None,2020-12-03,Eugene,OR,ST010
C00263,Beatrix Pemberton,Trailhead,2023-02-20,Tacoma,WA,ST018
C00264,Rosa Marchetti,Trailhead,2023-09-03,Portland,OR,ST016
C00265,Yara Thorne,Summit,2022-02-14,Flagstaff,AZ,ST014
C00266,Elena Marchetti,Trailhead,2024-12-13,Reno,NV,ST001
C00267,Ravi Delacroix,None,2021-08-01,Bend,OR,ST017
C00268,Theo Ibarra,Alpine,2024-04-12,Denver,CO,ST016
C00269,Priya Zielinski,Trailhead,2022-11-28,Denver,CO,ST012
C00270,Mateo Thorne,None,2022-04-28,Salt Lake City,UT,ST017
C00271,Amara Farrow,Summit,2024-07-17,Sacramento,CA,ST003
C00272,Otto Ibarra,Trailhead,2024-01-06,Spokane,WA,ST010
C00273,Freya Yardley,Alpine,2020-09-26,Eugene,OR,ST010
C00274,Imani Delacroix,None,2024-05-24,Spokane,WA,ST014
C00275,Nadia Nakamura,None,2024-02-14,Portland,OR,ST016
C00276,Marcus Hollis,None,2024-10-24,Bend,OR,ST005
C00277,Tobias Farrow,None,2024-11-10,Sacramento,CA,ST018
C00278,Emrys Marchetti,Summit,2020-02-16,Portland,OR,ST014
C00279,Saskia Vasquez,Alpine,2020-12-05,Boulder,CO,ST010
C00280,Alina Ferreira,Trailhead,2023-12-13,Park City,UT,ST018
C00281,Kenji Halvorsen,Alpine,2021-07-24,Portland,OR,ST018
C00282,Rosa Nakamura,Summit,2022-02-09,Flagstaff,AZ,ST001
C00283,Imani Grimshaw,Trailhead,2024-10-17,Seattle,WA,ST002
C00284,Ravi Farrow,Trailhead,2021-02-26,Boise,ID,ST018
C00285,Felix Nakamura,Trailhead,2023-10-27,Coeur d'Alene,ID,ST014
C00286,Mateo Rasmussen,None,2022-02-19,Boise,ID,ST014
C00287,Priya Ellery,Summit,2021-03-12,Missoula,MT,ST001
C00288,Beatrix Marchetti,Trailhead,2020-10-28,Reno,NV,ST008
C00289,Felix Ashworth,Summit,2021-05-30,Spokane,WA,ST003
C00290,Saskia Sandoval,Trailhead,2021-12-09,Denver,CO,ST018
C00291,Mateo Delacroix,Trailhead,2023-09-12,Portland,OR,ST013
C00292,Sana Halvorsen,Summit,2020-09-09,Sacramento,CA,ST012
C00293,Marcus Yardley,None,2021-02-08,Sacramento,CA,ST004
C00294,Saskia Rasmussen,None,2020-07-24,Eugene,OR,ST010
C00295,Leila Pemberton,Summit,2021-08-23,Fort Collins,CO,ST007
C00296,Lucian Ibarra,Summit,2023-07-08,Eugene,OR,ST007
C00297,Sana Whitfield,None,2020-10-12,Boulder,CO,ST008
C00298,Priya Thorne,Trailhead,2020-11-02,Boise,ID,ST007
C00299,Rosa Kowalski,Trailhead,2021-10-16,Spokane,WA,ST012
C00300,Theo Lindqvist,None,2020-02-12,Fort Collins,CO,ST015
C00301,Priya Ashworth,Alpine,2023-09-12,Park City,UT,ST005
C00302,Callum Ashworth,Trailhead,2024-08-11,Missoula,MT,ST003
C00303,Yara Nakamura,Summit,2021-02-03,Sacramento,CA,ST008
C00304,Saskia Whitfield,Summit,2024-02-10,Sacramento,CA,ST017
C00305,Elias Ellery,Trailhead,2023-01-01,Park City,UT,ST007
C00306,Rosa Thorne,Trailhead,2024-07-19,Eugene,OR,ST004
C00307,Tobias Hollis,None,2020-12-15,Reno,NV,ST006
C00308,Beatrix Ferreira,Trailhead,2021-12-12,Portland,OR,ST014
C00309,Lucian Nakamura,Trailhead,2022-02-08,Eugene,OR,ST005
C00310,Mateo Zielinski,None,2021-07-19,Seattle,WA,ST013
C00311,Soren Hollis,Alpine,2022-05-03,Portland,OR,ST015
C00312,Leila Nakamura,None,2020-11-11,Park City,UT,ST012
C00313,Otto Ashworth,Summit,2022-11-25,Fort Collins,CO,ST017
C00314,Imani Ellery,Trailhead,2021-06-21,Reno,NV,ST017
C00315,Callum Barros,None,2023-07-13,Seattle,WA,ST018
C00316,Kenji Ibarra,Summit,2023-09-12,Flagstaff,AZ,ST010
C00317,Elias Pemberton,None,2023-11-27,Boulder,CO,ST007
C00318,Ravi Wexford,Summit,2020-04-21,Tacoma,WA,ST013
C00319,Sana Vasquez,None,2022-07-04,Reno,NV,ST003
C00320,Alina Wexford,None,2021-06-14,Park City,UT,ST003
C00321,Otto Ashworth,Summit,2024-12-27,Fort Collins,CO,ST017
C00322,Kenji Thorne,Trailhead,2024-04-27,Park City,UT,ST013
C00323,Priya Ferreira,Summit,2020-05-21,Eugene,OR,ST007
C00324,Saskia Farrow,Alpine,2022-06-16,Sacramento,CA,ST004
C00325,Yara Yardley,Trailhead,2022-04-22,Missoula,MT,ST018
C00326,Soren Yardley,Summit,2022-05-04,Bend,OR,ST003
C00327,Greta Whitfield,Alpine,2022-08-13,Missoula,MT,ST018
C00328,Theo Nakamura,Alpine,2022-07-17,Reno,NV,ST005
C00329,Tobias Yardley,None,2023-10-16,Park City,UT,ST003
C00330,Beatrix Yardley,None,2020-10-28,Seattle,WA,ST004
C00331,Mateo Lindqvist,None,2020-10-08,Sacramento,CA,ST018
C00332,Callum Nakamura,None,2021-11-18,Boise,ID,ST010
C00333,Alina Vasquez,Trailhead,2024-11-05,Park City,UT,ST015
C00334,Saskia Whitfield,Trailhead,2023-09-03,Fort Collins,CO,ST002
C00335,Felix Kowalski,None,2024-02-24,Spokane,WA,ST007
C00336,Mateo Halvorsen,Summit,2022-08-06,Boulder,CO,ST015
C00337,Mateo Wexford,None,2021-05-26,Salt Lake City,UT,ST006
C00338,Kenji Barros,None,2024-07-16,Fort Collins,CO,ST012
C00339,Theo Nakamura,Summit,2024-05-23,Coeur d'Alene,ID,ST015
C00340,Leila Ashworth,Alpine,2021-01-21,Bend,OR,ST002
C00341,Sana Nakamura,Trailhead,2021-12-28,Missoula,MT,ST011
C00342,Marcus Sandoval,None,2022-03-12,Portland,OR,ST014
C00343,Theo Thorne,None,2024-07-13,Seattle,WA,ST009
C00344,Amara Lindqvist,None,2021-10-09,Bend,OR,ST008
C00345,Marcus Nakamura,Trailhead,2024-03-26,Missoula,MT,ST011
C00346,Otto Zielinski,Trailhead,2020-06-25,Park City,UT,ST008
C00347,Noor Farrow,None,2023-08-30,Missoula,MT,ST011
C00348,Freya Thorne,Trailhead,2024-06-12,Reno,NV,ST013
C00349,Marcus Wexford,Trailhead,2022-08-02,Seattle,WA,ST003
C00350,Leila Whitfield,None,2023-07-03,Tacoma,WA,ST017
C00351,Soren Ellery,None,2020-11-18,Tacoma,WA,ST012
C00352,Elias Ibarra,None,2021-04-25,Spokane,WA,ST012
C00353,Tobias Sandoval,None,2023-09-04,Spokane,WA,ST008
C00354,Ravi Sandoval,Trailhead,2021-11-06,Park City,UT,ST014
C00355,Elena Halvorsen,None,2020-09-05,Sacramento,CA,ST005
C00356,Elias Zielinski,None,2022-09-07,Tacoma,WA,ST012
C00357,Marcus Ellery,None,2023-10-01,Spokane,WA,ST010
C00358,Callum Rasmussen,Trailhead,2024-06-13,Bend,OR,ST006
C00359,Soren Halvorsen,None,2021-02-08,Flagstaff,AZ,ST008
C00360,Tobias Whitfield,None,2021-06-09,Eugene,OR,ST012
C00361,Tobias Ferreira,Summit,2024-11-17,Bend,OR,ST001
C00362,Imani Kowalski,Trailhead,2020-10-10,Salt Lake City,UT,ST010
C00363,Elena Wexford,None,2020-02-17,Flagstaff,AZ,ST015
C00364,Elias Zielinski,None,2021-04-02,Reno,NV,ST004
C00365,Greta Delacroix,Summit,2021-10-06,Boise,ID,ST002
C00366,Imani Ellery,Trailhead,2022-07-29,Missoula,MT,ST008
C00367,Beatrix Barros,Trailhead,2023-11-28,Seattle,WA,ST017
C00368,Mateo Wexford,Alpine,2022-01-13,Salt Lake City,UT,ST016
C00369,Amara Delacroix,None,2023-03-02,Park City,UT,ST012
C00370,Emrys Ashworth,None,2023-03-29,Fort Collins,CO,ST007
C00371,Alina Ellery,Trailhead,2020-12-06,Missoula,MT,ST016
C00372,Soren Thorne,Trailhead,2022-05-16,Salt Lake City,UT,ST018
C00373,Nadia Yardley,Trailhead,2022-09-21,Missoula,MT,ST012
C00374,Greta Halvorsen,Summit,2020-07-13,Bend,OR,ST006
C00375,Lucian Rasmussen,Trailhead,2022-12-03,Sacramento,CA,ST005
C00376,Ravi Halvorsen,None,2023-05-29,Denver,CO,ST013
C00377,Imani Thorne,Summit,2023-12-06,Bozeman,MT,ST008
C00378,Sana Ferreira,Trailhead,2020-07-27,Reno,NV,ST006
C00379,Elena Wexford,Trailhead,2023-02-11,Boise,ID,ST017
C00380,Felix Farrow,None,2024-04-15,Boise,ID,ST016
